date,location,administered_janssen,administered_moderna,administered_pfizer,administered_unk_manuf,series_complete_pop_pct
2021-11-30T00:00:00.000,PA,660933,7188711,10459918,1344,58.4
2021-11-30T00:00:00.000,OH,556914,5559642,8284559,17938,53
2021-11-30T00:00:00.000,AL,154204,2308635,2779368,286,46.2
2021-11-30T00:00:00.000,NY,1242739,11008193,17658861,11745,68.5
2021-11-30T00:00:00.000,MP,993,10442,70737,0,69
2021-11-30T00:00:00.000,ME,130551,908316,1194208,2136,72.3
2021-11-30T00:00:00.000,FM,12315,65527,2205,2,41.5
2021-11-30T00:00:00.000,CO,306451,3383055,4917558,6732,63.2
2021-11-30T00:00:00.000,DD2,293711,2221296,4042270,20498,0
2021-11-30T00:00:00.000,NV,168239,1390792,2403689,509,54.5
2021-11-30T00:00:00.000,MI,412629,5033778,7301940,1912,54.6
2021-11-30T00:00:00.000,AZ,322968,3842041,5410753,18662,54.7
2021-11-30T00:00:00.000,TN,234996,3131939,4768768,40203,49.5
2021-11-30T00:00:00.000,FL,1326310,11613081,17897053,112199,61.4
2021-11-29T00:00:00.000,OK,135605,1982544,2753157,1014,51.5
2021-11-29T00:00:00.000,GU,10850,88218,174767,44,73.3
2021-11-29T00:00:00.000,TX,1368488,14010838,21786443,2924,54.6
2021-11-29T00:00:00.000,NV,168071,1388806,2398739,509,54.4
2021-11-29T00:00:00.000,CO,305950,3376006,4906039,6711,63.2
2021-11-29T00:00:00.000,MO,225340,2663524,4468931,2303,50.8
2021-11-29T00:00:00.000,NM,104078,1282450,1727668,6552,63.5
2021-11-29T00:00:00.000,AS,547,18740,48405,1,66.2
2021-11-29T00:00:00.000,AZ,322749,3837009,5402434,18654,54.6
2021-11-29T00:00:00.000,OR,247934,2316477,3622647,6306,64
2021-11-29T00:00:00.000,NH,101915,807234,1224639,60,64.7
2021-11-29T00:00:00.000,VA,447766,4710196,7910244,7254,64.9
2021-11-29T00:00:00.000,SD,36001,454433,650401,132,54.4
2021-11-29T00:00:00.000,ME,129834,898161,1181781,2098,72.1
2021-11-29T00:00:00.000,PA,659912,7171015,10431610,1344,58.3
2021-11-29T00:00:00.000,NY,1241152,10981646,17619632,11694,68.4
2021-11-29T00:00:00.000,MI,409725,4977361,7230780,1909,54.5
2021-11-29T00:00:00.000,IL,610849,6508114,10738244,24284,61.6
2021-11-29T00:00:00.000,WV,44370,766716,879236,474,41.5
2021-11-29T00:00:00.000,ID,75229,767086,1036097,2665,45.2
2021-11-29T00:00:00.000,GA,300237,4890834,7025568,12760,49.4
2021-11-29T00:00:00.000,AL,154009,2303549,2771177,286,46.1
2021-11-29T00:00:00.000,WA,436798,4257967,6565412,8540,64.9
2021-11-29T00:00:00.000,MP,991,10429,70236,0,68.7
2021-11-29T00:00:00.000,VT,48957,443212,625979,875,72.9
2021-11-29T00:00:00.000,IN,276915,2838107,4603791,26371,50.6
2021-11-29T00:00:00.000,HI,55028,667726,1263000,94064,60.9
2021-11-29T00:00:00.000,MD,329495,3491634,5598105,13861,67.5
2021-11-29T00:00:00.000,MT,54044,561864,702822,1540,51.8
2021-11-29T00:00:00.000,AK,39146,370793,538787,748,54.1
2021-11-29T00:00:00.000,NE,84813,940366,1527484,5253,57.2
2021-11-29T00:00:00.000,KS,119905,1428701,2112626,3029,54.5
2021-11-29T00:00:00.000,MA,365617,4498329,6722716,424,71.1
2021-11-29T00:00:00.000,UT,160756,1448361,2406628,294,55.3
2021-11-29T00:00:00.000,ND,35493,355596,502414,306,48.7
2021-11-29T00:00:00.000,AR,108245,1516202,1893745,3268,49.3
2021-11-29T00:00:00.000,LA,175920,2148981,2884858,2684,48.9
2021-11-29T00:00:00.000,VI,1831,34979,82564,0,48.9
2021-11-29T00:00:00.000,CA,2078282,22552459,34876513,15204,63.1
2021-11-29T00:00:00.000,MN,326169,3011077,4811851,2537,62.3
2021-11-29T00:00:00.000,FM,12255,65148,1998,0,41.2
2021-11-29T00:00:00.000,IA,159760,1661270,2309899,412,56.5
2021-11-29T00:00:00.000,TN,234403,3118477,4748906,40172,49.5
2021-11-29T00:00:00.000,MH,2313,40810,2429,2,28.3
2021-11-29T00:00:00.000,CT,224350,2234241,3510789,1183,71.9
2021-11-29T00:00:00.000,MS,80190,1303161,1794271,2005,46.9
2021-11-29T00:00:00.000,DD2,293690,2221185,4041952,20497,0
2021-11-29T00:00:00.000,NC,456945,5034757,7980232,869,54.1
2021-11-29T00:00:00.000,FL,1324875,11593489,17867879,112170,61.3
2021-11-29T00:00:00.000,BP2,13135,107030,137551,31,0
2021-11-29T00:00:00.000,VA2,233492,3301937,2975704,281,0
2021-11-29T00:00:00.000,KY,210465,2252065,2945593,1916,52.1
2021-11-29T00:00:00.000,WY,26555,279322,324476,569,45.5
2021-11-29T00:00:00.000,DC,33096,427801,704016,470,64.4
2021-11-29T00:00:00.000,SC,203895,2410551,3570014,1924,51.4
2021-11-29T00:00:00.000,WI,303060,3160374,4721262,1511,59.5
2021-11-29T00:00:00.000,DE,53702,534655,797534,1671,60.9
2021-11-29T00:00:00.000,NJ,493326,5172412,7797735,636,67.8
2021-11-29T00:00:00.000,IH2,35894,908069,921298,168,37.8
2021-11-29T00:00:00.000,PR,140625,2119192,3137026,504,74.1
2021-11-29T00:00:00.000,RP,2334,26820,4700,0,73.3
2021-11-29T00:00:00.000,RI,58860,664683,1018510,1178,72.5
2021-11-29T00:00:00.000,OH,556554,5551682,8270386,17936,53
2021-11-28T00:00:00.000,NV,167013,1372661,2368813,509,54.2
2021-11-28T00:00:00.000,MO,224810,2650156,4452053,2303,50.8
2021-11-28T00:00:00.000,WA,435747,4240192,6543562,8502,64.8
2021-11-28T00:00:00.000,MP,933,10162,67280,0,68
2021-11-28T00:00:00.000,OH,551249,5471350,8151823,17859,52.8
2021-11-28T00:00:00.000,NC,455721,4994932,7926612,863,54
2021-11-28T00:00:00.000,DC,32830,423625,697548,469,64.1
2021-11-28T00:00:00.000,NH,101466,802048,1212550,60,64.6
2021-11-28T00:00:00.000,VT,48583,436222,615934,868,72.7
2021-11-28T00:00:00.000,NY,1233544,10842667,17389889,11591,68.2
2021-11-28T00:00:00.000,IL,605491,6402962,10572179,23933,61.4
2021-11-28T00:00:00.000,WY,26316,276010,320932,568,45.3
2021-11-28T00:00:00.000,AR,107221,1496068,1868409,3263,49.1
2021-11-28T00:00:00.000,DD2,292018,2215422,4018799,20326,0
2021-11-28T00:00:00.000,VA2,231882,3267482,2958431,281,0
2021-11-28T00:00:00.000,CT,223022,2197775,3476067,1183,71.7
2021-11-28T00:00:00.000,SD,35897,451997,647114,132,54.3
2021-11-28T00:00:00.000,RP,2334,26800,4700,0,73.3
2021-11-28T00:00:00.000,IH2,35712,901953,913733,168,37.7
2021-11-28T00:00:00.000,AZ,319934,3785007,5334928,18382,54.4
2021-11-28T00:00:00.000,NM,103488,1268538,1712803,6493,63.3
2021-11-28T00:00:00.000,GA,299103,4869508,7004514,12638,49.4
2021-11-28T00:00:00.000,CA,2059881,22222441,34417531,15147,62.8
2021-11-28T00:00:00.000,KS,119494,1419726,2102602,3017,54.4
2021-11-28T00:00:00.000,DE,53692,534535,797314,1671,60.9
2021-11-28T00:00:00.000,AK,39005,369352,536929,745,54
2021-11-28T00:00:00.000,ME,129323,891794,1175587,2064,72.1
2021-11-28T00:00:00.000,ID,74500,757391,1026166,2601,45.1
2021-11-28T00:00:00.000,NE,84811,940220,1527190,5253,57.2
2021-11-28T00:00:00.000,FM,12255,65148,1998,0,41.2
2021-11-28T00:00:00.000,MA,363187,4416230,6635208,423,70.8
2021-11-28T00:00:00.000,MD,327439,3454202,5534124,13807,67.2
2021-11-28T00:00:00.000,AS,547,18682,48323,1,66.2
2021-11-28T00:00:00.000,NJ,489768,5108657,7702067,626,67.5
